# === PPO_STATS_BEGIN ===
total_completed=2556
best_reward=229.534518
best_reward_ts=2026-01-02 22:26:08
best_reward_run=2026-01-02 22:06:26
best_reward_ep=(29/10000)
best_survival=300.503
best_survival_ts=2026-01-08 16:20:00
best_survival_run=2026-01-08 15:10:41
best_survival_ep=(114/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-30 20:49:12  episodes=10000 eval=False
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(1/10000)	30.207905	24.734	
(2/10000)	35.396186	26.694	
(3/10000)	26.776075	22.711	
(4/10000)	30.325289	25.342	
(5/10000)	28.616799	23.504	
(6/10000)	26.144509	22.065	
(7/10000)	19.315811	18.190	
(8/10000)	24.138344	19.366	
(9/10000)	21.706862	18.535	
(10/10000)	45.507209	31.393	
(11/10000)	49.408127	32.081	
(12/10000)	31.145678	25.271	
(13/10000)	32.970132	23.614	
(14/10000)	26.261879	21.435	
(15/10000)	32.607376	23.416	
(16/10000)	22.604036	18.537	
(17/10000)	31.846402	23.051	
(18/10000)	20.730042	20.090	
(19/10000)	53.783295	36.192	
(20/10000)	29.981768	23.658	
(21/10000)	33.710960	24.545	
(22/10000)	23.285957	20.880	
(23/10000)	33.442338	27.119	
(24/10000)	35.076952	26.350	
(25/10000)	22.792610	20.047	
(26/10000)	47.000000	30.980	
(27/10000)	29.671621	23.036	
(28/10000)	45.500000	30.727	
(29/10000)	28.445901	22.118	
(30/10000)	41.143104	27.721	
(31/10000)	26.997717	20.747	
(32/10000)	27.980014	21.670	
(33/10000)	32.500000	24.022	
(34/10000)	20.244495	19.732	
(35/10000)	19.635268	21.232	
(36/10000)	29.000000	22.192	
(37/10000)	28.153208	22.434	
(38/10000)	27.446597	21.941	
(39/10000)	27.501921	22.494	
(40/10000)	32.200000	22.189	
(41/10000)	49.000000	30.367	
(42/10000)	29.221225	22.626	
(43/10000)	34.590146	24.971	
(44/10000)	18.935644	19.555	
(45/10000)	29.911037	22.604	
(46/10000)	44.271635	29.544	
(47/10000)	21.955699	19.548	
(48/10000)	17.604245	17.998	
(49/10000)	50.300000	30.746	
(50/10000)	37.500000	25.526	
(51/10000)	46.347390	31.805	
(52/10000)	34.067349	26.347	
(53/10000)	35.113765	25.430	
(54/10000)	28.286402	21.790	
(55/10000)	42.802547	29.746	
(56/10000)	33.408337	24.158	
(57/10000)	44.812164	30.774	
(58/10000)	28.470358	22.914	
(59/10000)	46.652289	30.989	
(60/10000)	28.597110	23.155	
(61/10000)	20.073890	21.057	
(62/10000)	22.029681	20.843	
(63/10000)	27.183187	22.857	
(64/10000)	26.806138	22.245	
(65/10000)	21.644255	20.233	
(66/10000)	22.651137	20.687	
(67/10000)	30.731397	23.530	
(68/10000)	21.363953	19.138	
(69/10000)	31.490247	26.127	
(70/10000)	31.220304	24.996	
(71/10000)	24.950349	21.620	
(72/10000)	29.092067	23.492	
(73/10000)	73.493890	44.256	
(74/10000)	34.638288	26.767	
(75/10000)	27.982415	22.260	
(76/10000)	28.230513	21.386	
(77/10000)	31.189524	24.516	
(78/10000)	31.294791	24.979	
(79/10000)	29.670522	23.609	
(80/10000)	22.195894	20.042	
(81/10000)	60.857325	40.189	
(82/10000)	33.039679	25.309	
(83/10000)	27.685272	22.578	
(84/10000)	43.002152	29.604	
(85/10000)	27.741322	23.203	
(86/10000)	33.177189	25.754	
(87/10000)	26.923340	22.133	
(88/10000)	34.555588	25.362	
(89/10000)	21.500000	18.941	
(90/10000)	34.296715	24.355	
(91/10000)	22.539856	20.338	
(92/10000)	28.253765	22.476	
(93/10000)	23.268615	21.950	
(94/10000)	15.624064	16.812	
(95/10000)	46.354419	31.486	
(96/10000)	18.151786	19.592	
(97/10000)	31.833417	23.883	
(98/10000)	28.213150	21.393	
(99/10000)	49.500000	30.669	
(100/10000)	17.670856	19.015	
(101/10000)	47.432100	32.548	
(102/10000)	29.082173	23.380	
(103/10000)	47.619736	31.099	
(104/10000)	24.250920	19.733	
(105/10000)	33.309376	25.621	
(106/10000)	47.251122	30.736	
(107/10000)	32.743466	23.505	
(108/10000)	28.964482	23.384	
(109/10000)	26.572624	22.619	
(110/10000)	24.431872	21.113	
(111/10000)	31.750160	24.179	
(112/10000)	23.000765	20.223	
(113/10000)	17.564384	16.427	
(114/10000)	32.400000	22.935	
(115/10000)	29.600000	21.335	
(116/10000)	28.935115	24.958	
(117/10000)	23.235268	19.741	
(118/10000)	22.144969	20.897	
(119/10000)	38.998497	26.610	
(120/10000)	32.500000	23.227	
(121/10000)	32.400000	22.145	
(122/10000)	28.487891	23.135	
(123/10000)	35.550986	25.444	
(124/10000)	35.750536	26.312	
(125/10000)	31.600000	23.525	
(126/10000)	7.200000	3.599	ABORTED

========
[RUN] 2025-12-31 11:50:33  episodes=10000 eval=False
[STATS] total_completed=125 | best_reward=73.494 | best_survival=44.26s
idx	reward	survival_sec	note
(1/10000)	29.359944	23.933	
(2/10000)	30.035379	22.490	
(3/10000)	34.366472	27.255	
(4/10000)	40.641768	30.636	
(5/10000)	23.915045	21.235	
(6/10000)	43.238149	29.800	
(7/10000)	29.301754	24.308	
(8/10000)	43.234711	30.063	
(9/10000)	23.800000	20.218	
(10/10000)	18.822394	16.738	
(11/10000)	43.990035	31.142	
(12/10000)	31.266388	24.983	
(13/10000)	31.861044	25.094	
(14/10000)	22.850466	18.946	
(15/10000)	30.400487	24.051	
(16/10000)	30.255685	24.785	
(17/10000)	29.191301	24.499	
(18/10000)	25.900000	19.738	
(19/10000)	29.911538	22.992	
(20/10000)	37.478321	26.717	
(21/10000)	31.055644	23.774	
(22/10000)	42.979639	31.220	
(23/10000)	25.975541	22.772	
(24/10000)	22.992582	19.305	
(25/10000)	29.573231	23.731	
(26/10000)	19.738789	18.855	
(27/10000)	21.343581	19.682	
(28/10000)	17.976855	17.553	
(29/10000)	26.696557	21.937	
(30/10000)	47.127808	30.427	
(31/10000)	27.990160	21.704	
(32/10000)	19.609362	18.053	
(33/10000)	39.798454	27.930	
(34/10000)	62.404426	38.734	
(35/10000)	29.439207	22.620	
(36/10000)	31.300000	22.703	
(37/10000)	46.243343	31.219	
(38/10000)	33.052846	25.963	
(39/10000)	22.058594	19.028	
(40/10000)	26.474843	22.168	
(41/10000)	31.927817	26.040	
(42/10000)	26.021879	21.723	
