
========
[RUN] 2025-12-19 16:32:11  episodes=1
idx	reward	edge60	top270
(1/1)	-96.707757	6	114

========
[RUN] 2025-12-19 16:32:40  episodes=30
idx	reward	edge60	top270
(1/30)	-96.995916	7	110
(2/30)	-96.970167	3	142
(3/30)	-96.005459	7	193
(4/30)	-97.670193	9	154
(5/30)	-94.513698	6	201
(6/30)	-98.011961	4	176
(7/30)	-98.507365	9	178
(8/30)	-95.594415	12	248
(9/30)	-97.898497	9	204
(10/30)	-99.722610	5	192
(11/30)	-99.542343	10	189
(12/30)	-97.278618	11	204
(13/30)	-93.435001	13	67
(14/30)	-94.673955	11	98
(15/30)	-92.699284	5	84
(16/30)	-100.955607	6	24
(17/30)	-95.412290	3	26
(18/30)	-98.316775	9	22
(19/30)	-99.933452	4	27
(20/30)	-92.097936	6	21
(21/30)	-96.674707	9	41
(22/30)	-97.455172	10	15
(23/30)	-97.179977	9	33
(24/30)	-97.368802	9	41
(25/30)	-94.877861	12	25
(26/30)	-96.049120	11	52
(27/30)	-95.978901	8	35
(28/30)	-96.102003	8	20
(29/30)	-98.584553	9	24
(30/30)	-94.361454	9	30
