timestamp,steps,total_reward,hit_count_approx,slow_ratio,top5_actions
1765858849.120421,32,-114.43,2,0.0,UP_LEFT:13;DOWN_RIGHT:9;DOWN_LEFT:5;RIGHT:5
1765859103.8537393,33,-114.61,2,0.0,UP_LEFT:15;DOWN_RIGHT:9;DOWN_LEFT:6;RIGHT:3
1765859374.0735526,28,-115.65,2,0.1071,UP_LEFT:10;DOWN_LEFT:7;DOWN_RIGHT:7;SLOW_LEFT:2;SLOW_DOWN_LEFT:1
1765859449.0494986,34,-114.69,2,0.0,UP_LEFT:12;DOWN_LEFT:12;DOWN_RIGHT:8;RIGHT:2
1765859595.0747652,1,33,-114.63,2,0.0,UP_LEFT:17;DOWN_LEFT:8;RIGHT:5;DOWN_RIGHT:3
1765859673.886085,1,30,-114.87,2,0.0,DOWN_LEFT:14;UP_LEFT:14;DOWN_RIGHT:2
1765859735.9149802,2,35,-114.12,2,0.0,DOWN_LEFT:22;UP_LEFT:13
1765859794.4288957,3,36,-114.13,2,0.0,DOWN_LEFT:27;UP_LEFT:9
1765860716.4346805,1,1,-99.97,0,0.0,DOWN_LEFT:1
1765860764.5957499,2,27,-115.47,2,0.037,DOWN_LEFT:18;UP_LEFT:7;SLOW_LEFT:1;DOWN_RIGHT:1
1765861293.2837539,1,1,-99.97,0,0.0,DOWN_LEFT:1
1765861721.4002292,1,28,-115.59,2,0.0,DOWN_LEFT:28
1765862333.2013674,1,28,-115.54,2,0.0,DOWN_LEFT:27;DOWN_RIGHT:1
1765863049.2687378,1,14,-117.84,2,0.0,DOWN_LEFT:14
1765863116.1248593,1,14,-117.82,2,0.0,DOWN_LEFT:14
1765863231.2767143,1,26,-115.56,2,0.0,DOWN_LEFT:26
1765863301.54738,1,14,-117.82,2,0.0,DOWN_LEFT:14
1765863931.3195884,1,28,-115.25,2,0.0357,DOWN_LEFT:27;SLOW_DOWN_LEFT:1
1765864694.3621027,1,8,-98.71,0,0.0,DOWN_LEFT:8
1765865072.4720857,1,36,-114.46,2,0.0,DOWN_LEFT:36
1765865829.0416417,1,28,-115.38,2,0.0357,DOWN_LEFT:27;SLOW_LEFT:1
1765866313.9058728,1,27,-115.49,2,0.0,DOWN_LEFT:27
1765866411.8203013,1,38,-114.11,2,0.0,DOWN_LEFT:36;RIGHT:2
